Project,BugId,bucket,scope,detail
pandas,150,lr_readiness_skipped,all,SR top-20 blank
pandas,153,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
pandas,154,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
pandas,159,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
pandas,160,lr_readiness_skipped,all,SR top-20 blank
pandas,162,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
pandas,165,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
pandas,166,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
sanic,2,fl_unreachable,all,faulty method(s) not covered by spectra (n=1)
sanic,4,extraction_incomplete,all,audit status real_failure
sanic,5,extraction_incomplete,all,audit status real_failure
scrapy,1,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
scrapy,9,lr_not_run,flexfl,LR not run for any config; baselines evaluated
scrapy,11,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
scrapy,12,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
scrapy,13,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
scrapy,16,lr_readiness_skipped,all,SR top-20 blank
scrapy,17,lr_readiness_skipped,all,SR top-20 blank
scrapy,19,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
scrapy,20,lr_readiness_skipped,all,SR top-20 blank
scrapy,21,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
scrapy,26,extraction_incomplete,all,audit status real_failure
scrapy,31,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
scrapy,33,extraction_incomplete,all,audit status real_failure
scrapy,36,extraction_incomplete,all,audit status real_failure
spacy,1,lr_not_run,flexfl,LR not run for any config; baselines evaluated
spacy,2,fl_unreachable,all,faulty method(s) not covered by spectra (n=1)
spacy,3,lr_not_run,flexfl,LR not run for any config; baselines evaluated
spacy,4,extraction_incomplete,all,audit status real_failure
spacy,7,extraction_incomplete,all,audit status real_failure
spacy,8,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
spacy,9,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
spacy,10,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
thefuck,1,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,2,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,3,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,4,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,5,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,6,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,7,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,8,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,12,fl_unreachable,all,faulty method(s) not covered by spectra (n=1)
thefuck,14,sr_not_run,all,blank trigger (non-mirrorable failure); sr_result.json missing
thefuck,18,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
thefuck,25,lr_not_run,flexfl,LR not run for any config; baselines evaluated
thefuck,26,lr_not_run,flexfl,LR not run for any config; baselines evaluated
thefuck,27,lr_not_run,flexfl,LR not run for any config; baselines evaluated
thefuck,28,lr_not_run,flexfl,LR not run for any config; baselines evaluated
thefuck,30,lr_not_run,flexfl,LR not run for any config; baselines evaluated
thefuck,31,lr_readiness_skipped,all,SR top-20 blank
thefuck,32,lr_not_run,flexfl,LR not run for any config; baselines evaluated
tornado,6,fl_unreachable,all,faulty method(s) not covered by spectra (n=2)
tornado,8,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
tornado,10,lr_measurement_skipped,flexfl,"fault not in SR top-20; baselines evaluated, flexfl slots empty"
tornado,13,lr_readiness_skipped,all,SR top-20 blank
tqdm,7,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
youtube-dl,2,lr_not_run,flexfl,LR not run for any config; baselines evaluated
youtube-dl,6,lr_readiness_skipped,all,SR top-20 blank
youtube-dl,14,fl_unreachable,all,faulty method(s) not covered by spectra (n=2)
youtube-dl,15,lr_readiness_skipped,all,SR top-20 blank
youtube-dl,17,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
youtube-dl,22,lr_readiness_skipped,all,SR top-20 blank
youtube-dl,33,lr_readiness_skipped,all,SR top-20 blank
youtube-dl,36,method_unlocalizable,aggregates,no method signature in faults.csv (patch outside any def)
youtube-dl,38,extraction_incomplete,all,audit status real_failure
youtube-dl,39,extraction_incomplete,all,audit status real_failure
youtube-dl,40,extraction_incomplete,all,audit status real_failure
youtube-dl,41,lr_readiness_skipped,all,SR top-20 blank
youtube-dl,42,extraction_incomplete,all,audit status real_failure
